City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Pressure,Country,Date
102,Revda,56.801,59.9303,20.01,89,16,2.01,1027,RU,1732766871
103,Tacna,-18.0056,-70.2483,62.8,82,100,2.3,1015,PE,1732766872
104,Badger,64.8,-147.5333,-14.55,76,40,0.0,1037,US,1732766493
105,Senador José Porfírio,-2.5908,-51.9542,78.31,69,24,4.07,1008,BR,1732766874
106,Najrān,17.4924,44.1277,64.08,32,1,0.49,1018,SA,1732766875
107,Najrān,17.4924,44.1277,64.08,32,1,0.49,1018,SA,1732766875
108,Mineiros,-17.5694,-52.5511,69.82,90,63,4.83,1010,BR,1732766877
109,Ta`ū,-14.2336,-169.5144,82.29,75,94,5.73,1008,AS,1732766576
110,Urengoy,65.9667,78.3667,4.33,100,27,4.21,1021,RU,1732766880
111,Ulaangom,49.9811,92.0667,14.5,83,80,1.48,1046,MN,1732766881
112,Kurkino,53.4257,38.6582,28.67,74,100,3.4,1023,RU,1732766882
113,Barra do Bugres,-15.0725,-57.1811,74.64,90,72,4.41,1008,BR,1732766883
114,Neelankarai,12.9455,80.2575,78.15,79,75,11.5,1010,IN,1732766884
115,Howrah,22.5892,88.3103,73.4,73,20,8.05,1016,IN,1732766539
116,As Sulayyil,20.4607,45.5779,68.59,36,0,10.13,1017,SA,1732766886
117,Yarmouth,41.7057,-70.2286,36.61,90,0,0.0,1015,US,1732766887
118,Zouérat,22.7187,-12.4521,69.84,26,99,8.08,1018,MR,1732766888
119,Selfoss,63.9331,-20.9971,26.22,69,37,10.02,1016,IS,1732766890
120,Grand Forks,47.9417,-97.4337,17.53,77,100,3.44,1023,US,1732766638
121,Kruisfontein,-34.0033,24.7314,57.0,78,56,10.27,1022,ZA,1732766892
122,Parchim,53.4263,11.8488,42.49,94,100,14.94,998,DE,1732766893
123,Sal Rei,16.1833,-22.9167,76.14,76,6,11.48,1014,CV,1732766894
124,Sal Rei,16.1833,-22.9167,76.14,76,6,11.48,1014,CV,1732766894
125,Vernon,50.2581,-119.2691,33.93,80,61,1.01,1026,CA,1732766896
126,Petropavlovsk-Kamchatskiy,53.0452,158.6483,30.79,59,75,2.24,1013,RU,1732766298
127,Odesskoye,54.2111,72.9651,7.72,91,11,6.26,1026,RU,1732766899
128,Lashio,22.9333,97.75,74.14,62,92,1.61,1017,MM,1732766900
129,Mata-Utu,-13.2816,-176.1745,82.67,77,99,10.47,1007,WF,1732766901
130,Vazante,-17.9869,-46.9078,71.1,78,100,1.95,1011,BR,1732766902
131,Nabire,-3.3667,135.4833,88.21,63,97,6.76,1005,ID,1732766903
132,Reggane,26.7158,0.1714,63.18,30,48,11.27,1022,DZ,1732766904
133,Mar del Plata,-38.0023,-57.5575,59.95,82,0,3.44,1013,AR,1732766905
134,Jumla,29.2747,82.1838,47.88,32,0,2.77,1019,NP,1732766906
135,Moyynkum,44.2914,72.9469,42.28,41,57,7.49,1019,KZ,1732766907
136,Karratha,-20.7377,116.8463,89.15,52,100,10.33,1008,AU,1732766908
137,Karratha,-20.7377,116.8463,89.15,52,100,10.33,1008,AU,1732766908
138,Swakopmund,-22.6833,14.5333,55.98,83,9,5.01,1014,NA,1732766911
139,Hargeisa,9.56,44.065,61.16,89,43,11.27,1018,SO,1732766530
140,Ust-Nera,64.5667,143.2,-2.94,100,99,2.59,1026,RU,1732766913
141,Vilyuchinsk,52.9306,158.4028,32.27,71,9,1.95,1013,RU,1732766568
142,Kapuskasing,49.4169,-82.4331,24.89,93,100,16.11,1003,CA,1732766342
143,Happy Valley-Goose Bay,53.3168,-60.3315,30.24,98,100,4.92,1012,CA,1732766916
144,Kanggye,40.9695,126.5852,24.75,59,100,7.61,1007,KP,1732766917
145,Kirovsk,48.6375,38.6428,30.69,73,100,5.95,1024,UA,1732766919
146,College,64.8569,-147.8028,-18.45,69,75,0.0,1037,US,1732766920
147,Susuman,62.7833,148.1667,-14.58,91,97,1.41,1028,RU,1732766602
148,Gandajika,-6.75,23.95,63.9,99,100,2.06,1016,CD,1732766922
149,Panabá,21.2833,-88.2667,71.31,96,13,6.82,1014,MX,1732766923
150,Xudat,41.631,48.681,45.05,88,100,6.82,1017,AZ,1732766924
151,Nantucket,41.2835,-70.0995,45.14,87,0,2.91,1015,US,1732766665
152,Yuzhno-Kurilsk,44.0306,145.8556,44.38,82,80,5.53,998,RU,1732766555
153,Sechura,-5.5569,-80.8222,66.61,77,79,10.45,1014,PE,1732766927
154,Vysokaya Gora,55.9128,49.3017,30.54,57,100,2.93,1025,RU,1732766929
155,Mumbwa,-14.9783,27.0619,66.18,90,100,8.28,1014,ZM,1732766930
156,Ribeira Brava,32.65,-17.0667,68.72,76,100,4.03,1017,PT,1732766931
157,Carnarvon,-24.8667,113.6333,88.3,50,3,11.14,1006,AU,1732766932
158,Carnarvon,-24.8667,113.6333,88.3,50,3,11.14,1006,AU,1732766932
159,Prieska,-29.6641,22.7474,51.73,66,0,8.84,1021,ZA,1732766934
160,Cologne,50.9333,6.95,46.96,83,100,19.57,1020,DE,1732766521
161,Vadsø,70.0744,29.7487,28.56,80,20,9.22,1018,NO,1732766936
162,Rosalie,15.3667,-61.2667,78.39,83,75,7.23,1013,DM,1732766937
163,Bubaque,11.2833,-15.8333,81.73,70,0,7.65,1011,GW,1732766642
164,Akureyri,65.6835,-18.0878,20.84,95,55,11.7,1018,IS,1732766940
165,Miðvágur,62.0511,-7.1939,43.63,75,75,13.8,1020,FO,1732766941
166,Nishinoomote,30.7333,131.0,61.47,60,100,30.87,1015,JP,1732766942
167,West Island,-12.1568,96.8225,84.18,89,100,12.66,1007,CC,1732766515
168,Rumoi,43.9344,141.6428,39.2,75,100,9.84,1002,JP,1732766659
169,Mount Pearl,47.5166,-52.7813,34.95,97,100,3.44,1011,CA,1732766945
170,Rongelap,11.1635,166.8941,82.8,81,36,20.47,1008,MH,1732766946
171,Uniāra,26.15,75.2167,70.9,36,0,4.47,1018,IN,1732766948
172,Kuta,-8.7233,115.1723,85.95,84,40,9.22,1008,ID,1732766949
173,Kuta,-8.7233,115.1723,85.95,84,40,9.22,1008,ID,1732766949
174,Chegdomyn,51.1167,133.0167,25.7,78,75,5.14,991,RU,1732766951
175,Revelstoke,50.9832,-118.2023,30.22,100,100,2.3,1026,CA,1732766952
176,Tsiombe,-25.3,45.4833,85.69,41,9,3.89,1011,MG,1732766565
177,Fale old settlement,-9.3852,-171.2468,84.15,66,94,9.66,1007,TK,1732766564
178,Mingshui,36.7167,117.5,41.2,30,3,16.42,1020,CN,1732766956
179,Lai Chau,22.3997,103.4517,63.99,56,95,0.43,1023,VN,1732766957
180,Kingscliff,-28.2667,153.5667,83.95,83,60,13.8,1014,AU,1732766958
181,Armação de Búzios,-22.7469,-41.8817,73.47,90,6,21.36,1009,BR,1732766959
182,Amarante do Maranhão,-5.5667,-46.7422,78.58,59,34,1.77,1008,BR,1732766960
183,Mozambique,-15.0342,40.7358,82.72,79,88,14.65,1012,MZ,1732766961
184,Freetown,8.484,-13.2299,77.77,82,4,1.32,1011,SL,1732766557
185,Regina,50.4501,-104.6178,3.31,81,100,12.66,1029,CA,1732766701
186,Regina,50.4501,-104.6178,3.31,81,100,12.66,1029,CA,1732766701
187,Mossamedes,-15.1961,12.1522,71.64,79,70,6.64,1013,AO,1732766687
188,Amuñgan,15.3652,119.9582,84.43,70,69,9.55,1011,PH,1732766967
189,East London,-33.0153,27.9116,61.9,79,91,19.8,1018,ZA,1732766968
190,Necochea,-38.5473,-58.7368,53.64,88,0,6.13,1013,AR,1732766969
191,Colares,38.7992,-9.4469,54.34,77,29,16.2,1021,PT,1732766970
192,Katsuura,35.1333,140.3,58.46,56,0,33.08,1006,JP,1732766971
193,Keelung,25.1283,121.7419,69.69,44,84,9.57,1022,TW,1732766900
194,Lihue,21.9789,-159.3672,72.73,78,2,13.8,1016,US,1732766544
195,Minas de Marcona,-15.2119,-75.1103,59.32,84,100,8.88,1014,PE,1732766975
196,Minas de Marcona,-15.2119,-75.1103,59.32,84,100,8.88,1014,PE,1732766975
197,Hammerfest,70.6634,23.6821,36.05,55,20,10.36,1012,NO,1732766977
198,Geraldton,-28.7667,114.6,95.41,17,0,17.27,1010,AU,1732766839
199,Vorgashor,67.5833,63.95,14.61,96,32,9.1,1021,RU,1732766588
200,Campos Novos,-27.4017,-51.225,62.76,98,100,1.01,1010,BR,1732766980
201,Hriňová,48.5779,19.5257,34.52,96,70,1.97,1024,SK,1732766981
202,Miracema do Tocantins,-9.5618,-48.3967,76.68,68,38,0.92,1009,BR,1732766982
203,Rivière-du-Loup,47.8304,-69.5342,32.95,80,42,12.77,1009,CA,1732766983
204,Halifax,44.6453,-63.5724,41.0,93,25,12.66,1013,CA,1732766723
205,Belmonte,-15.8631,-38.8828,74.03,88,61,4.14,1013,BR,1732766986
206,Timaru,-44.4,171.25,75.25,41,100,25.23,1007,NZ,1732766987
207,Kavieng,-2.5744,150.7967,86.14,70,93,15.64,1005,PG,1732766988
208,Jamestown,42.097,-79.2353,38.84,88,100,8.05,1011,US,1732766268
209,Port Alfred,-33.5906,26.891,60.19,90,88,3.0,1020,ZA,1732766990
210,Koryazhma,61.3143,47.1691,23.74,87,99,4.32,1024,RU,1732766991
211,Newman,37.3138,-121.0208,45.05,59,0,5.1,1020,US,1732766934
212,Richfield,44.8833,-93.283,26.08,73,100,9.22,1019,US,1732766921
213,Gustavsberg,59.3268,18.3898,37.18,96,100,8.99,1016,SE,1732766994
214,Taltal,-25.4,-70.4833,61.5,84,5,5.35,1015,CL,1732766995
215,Xique Xique,-10.8217,-42.7311,78.98,67,66,11.52,1010,BR,1732766726
216,Porto-Novo,6.4965,2.6036,75.25,89,20,4.81,1012,BJ,1732766998
217,Rémire-Montjoly,4.9167,-52.2667,75.24,100,75,1.14,1011,GF,1732766999
218,Camocim,-2.9022,-40.8411,77.31,79,73,14.14,1010,BR,1732767000
219,Aasiaat,68.7098,-52.8699,1.72,74,100,5.39,1022,GL,1732767001
220,Bardai,11.65,7.2333,57.76,40,1,12.8,1017,NG,1732767002
221,Crane,31.3974,-102.3501,56.88,52,100,28.41,1014,US,1732766472
